Date,Search Term,All Jobs,Over 80k,Contracts
2026-08-02,Software Engineer Python,3478.0,721.0,649.0
2026-08-02,Automated Test Engineer,934.0,100.0,165.0
2026-08-02,SDET,26.0,5.0,6.0
2026-08-02,Software Developer in Test,3601.0,750.0,683.0
2026-06-28,Software Engineer Python,3724.0,793.0,
2026-06-28,Automated Test Engineer,975.0,101.0,
2026-06-28,SDET,26.0,5.0,
2026-06-28,Software Developer in Test,3855.0,824.0,
2026-08-27,Software Engineer Python,3843.0,1037.0,561.0
2026-08-27,Automated Test Engineer,1007.0,128.0,145.0
2026-08-27,SDET,28.0,10.0,6.0
2026-08-27,Software Developer in Test,3991.0,1066.0,595.0
